"Kod";"Nazwa";"Drogi dla rowerów i buspasy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2011";509,1;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2012";588,7;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2013";607,2;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2014";779,6;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2015";805,9;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2016";694,0;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2017";751,7;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2018";894,8;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2019";1012,4;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2020";1119,2;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2021";1082,5;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2022";1230,4;"km";"";
0200000;"DOLNOŚLĄSKIE";"drogi dla rowerów ogółem";"2023";;"km";"n";
0200000;"DOLNOŚLĄSKIE";"będących pod zarządem gminy";"2011";;"km";"";
0200000;"DOLNOŚLĄSKIE";"będących pod zarządem gminy";"2012";;"km";"";
0200000;"DOLNOŚLĄSKIE";"będących pod zarządem gminy";"2013";489,1;"km";"";
0200000;"DOLNOŚLĄSKIE";"będących pod zarządem gminy";"2014";501,8;"km";"";
0200000;"DOLNOŚLĄSKIE";"będących pod zarządem gminy";"2015";519,5;"km";"";
0200000;"DOLNOŚLĄSKIE";"będących pod zarządem gminy";"2016";533,2;"km";"";
