"Kod";"Nazwa";"Rodzaje źródeł";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2000";12519,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2001";12337,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";11280,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";12371,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";13694,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";15774,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";15441,8;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";14777,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";14816,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";13937,3;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";13368,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";13350,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";13567,7;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";12686,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";11047,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";10750,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";10944,6;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";10219,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";9917,7;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";8513,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";8706,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";14500,3;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";15527,7;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";;"GWh";"n";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2000";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2001";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2002";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2003";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2004";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2005";210,9;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2006";197,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2007";229,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2008";219,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2009";236,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2010";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2011";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2012";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2013";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2014";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2015";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2016";621,6;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2017";721,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2018";581,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2019";707,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2020";818,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2021";1152,6;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2022";1504,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne i na paliwa odnawialne ogółem";"2023";;"GWh";"n";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2000";178,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2001";212,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2002";202,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2003";137,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2004";172,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2005";196,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2006";180,6;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2007";206,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2008";196,3;"GWh";"";
