"Kod";"Nazwa";"Rodzaje zanieczyszczeń";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"1996";;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"1997";;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"1998";14782386;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"1999";14358602;"t/r";"M";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2000";15066661;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2001";14613832;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";13371718;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";14375075;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";16650508;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";18048750;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";17549445;"t/r";"M";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";16677110;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";16958620;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";15466639;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";16343721;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";15942227;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";16039578;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";15286356;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";13479186;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";12834234;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";12813035;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";12029342;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";11800388;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";10243275;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";10326497;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";15105772;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";16047570;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"emisja ogółem na km2";"1996";;"t";"";
0200000;"DOLNOŚLĄSKIE";"emisja ogółem na km2";"1997";;"t";"";
0200000;"DOLNOŚLĄSKIE";"emisja ogółem na km2";"1998";;"t";"";
0200000;"DOLNOŚLĄSKIE";"emisja ogółem na km2";"1999";;"t";"";
0200000;"DOLNOŚLĄSKIE";"emisja ogółem na km2";"2000";;"t";"";
