"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"benzyna";"2018";976917;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"benzyna";"2019";1011409;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"benzyna";"2020";1039936;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"benzyna";"2021";1068856;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"benzyna";"2022";1090944;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"benzyna";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"olej napędowy";"2018";590143;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"olej napędowy";"2019";620107;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"olej napędowy";"2020";645601;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"olej napędowy";"2021";666447;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"olej napędowy";"2022";677415;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"olej napędowy";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"gaz (LPG)";"2018";193317;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"gaz (LPG)";"2019";195751;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"gaz (LPG)";"2020";199325;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"gaz (LPG)";"2021";201333;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"gaz (LPG)";"2022";203601;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"samochody osobowe";"gaz (LPG)";"2023";;"szt.";"n";
