"Kod";"Nazwa";"Przystanki";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";10824;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2019";11033;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2020";11460;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2021";11831;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2022";11958;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2018";10521;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2019";10741;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2020";11097;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2021";11570;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2022";11693;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"przystanki tramwajowe";"ogółem";"2018";303;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki tramwajowe";"ogółem";"2019";292;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki tramwajowe";"ogółem";"2020";363;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki tramwajowe";"ogółem";"2021";261;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki tramwajowe";"ogółem";"2022";265;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki tramwajowe";"ogółem";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2018";87;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2019";93;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2020";97;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2021";108;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2022";112;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";10421;"szt.";"";
