Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Maks;Maks (S8max);Liczba pomiarów;Kompletno?? ;Liczba Lato/Zima;;;;;;
(-);(-);(-);(-);(-);(-);(-);[mg/m3];[mg/m3];[mg/m3];[mg/m3];(-);[%];(-);;;;;;
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsGlogSikor;CO;1g;0,5;0,1;1,9;1,63;2195;25,1;0,0;;;;;;
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsKromolin;CO;1g;0,4;0,0;1,2;1,05;2198;25,1;0,0;;;;;;
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSobczyce;CO;1g;0,4;0,0;1,4;1,15;2135;24,4;0,0;;;;;;
2003;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;CO;1g;0,6;0,0;5,1;3,83;6540;74,7;0,7;;;;;;
2003;kujawsko-pomorskie;PL0402;miasto Toru?;KpToruKaszow;CO;1g;1,0;0,1;4,3;3,19;2919;33,3;0,5;;;;;;
2003;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;CO;1g;0,0;0,0;0,0;0,00;7444;85,0;1,0;;;;;;
2003;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;CO;1g;0,4;0,0;3,0;1,29;1306;14,9;0,0;;;;;;
2003;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzWIOSARubinst;CO;1g;0,7;0,0;3,0;1,89;1194;13,6;0,0;;;;;;
2003;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzZachod;CO;1g;0,8;0,0;6,0;3,10;2528;28,9;0,2;;;;;;
2003;?ódzkie;PL1001;Aglomeracja ?ódzka;LdZgieMielcz;CO;1g;1,0;0,0;11,1;3,90;1854;21,2;0,4;;;;;;
2003;?ódzkie;PL1002;strefa ?ódzka;LdPiotrkWIOSABelzack;CO;1g;0,8;0,3;6,9;5,10;7197;82,2;1,4;;;;;;
2003;mazowieckie;PL1402;miasto P?ock;MzPlockPKN1;CO;1g;0,4;0,1;3,7;2,98;8269;94,4;1,1;;;;;;
2003;mazowieckie;PL1402;miasto P?ock;MzPlockPKN2;CO;1g;0,6;0,0;2,8;2,45;7999;91,3;0,9;;;;;;
2003;mazowieckie;PL1402;miasto P?ock;MzPlockPKN3;CO;1g;0,4;0,1;2,1;1,82;7899;90,2;1,1;;;;;;
2003;mazowieckie;PL1402;miasto P?ock;MzPlocKroJad;CO;1g;0,5;0,1;3,4;2,09;8048;91,9;1,0;;;;;;
2003;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlDabroDabr_ziolo;CO;1g;0,7;0,0;3,5;2,84;7337;83,8;0,8;;;;;;
2003;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlGliwiGliw_kujaw;CO;1g;1,1;0,3;6,6;5,19;7374;84,2;1,3;;;;;;
2003;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlPiekaPiek_darwi;CO;1g;1,0;0,3;6,3;4,78;8609;98,3;1,0;;;;;;
2003;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlZabrzZabr_wolno;CO;1g;0,9;0,1;7,1;4,71;8598;98,2;1,0;;;;;;
2003;?l?skie;PL2404;miasto Cz?stochowa;SlCzestCzes_arkra;CO;1g;0,8;0,0;7,4;4,79;7604;86,8;0,7;;;;;;
2003;?l?skie;PL2405;strefa ?l?ska;SlKuzniGliw_wiejs;CO;1g;0,8;0,1;4,8;4,25;7941;90,7;1,2;;;;;;
2003;?l?skie;PL2405;strefa ?l?ska;SlUstroCies_sanat;CO;1g;0,5;0,1;4,7;3,59;8490;96,9;1,0;;;;;;
2003;?l?skie;PL2405;strefa ?l?ska;SlWojkoBedz_pader;CO;1g;1,3;0,1;5,5;4,96;5918;67,6;0,5;;;;;;
2003;?wi?tokrzyskie;PL2601;miasto Kielce;SkKielTransp;CO;1g;0,6;0,0;6,1;5,06;7019;80,1;1,7;;;;;;
2004;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocGrun;CO;1g;0,6;0,3;3,4;1,88;5427;61,8;1,9;;;;;;
2004;dolno?l?skie;PL0202;miasto Legnica;DsLegRzecz;CO;1g;0,5;0,1;4,1;3,03;6154;70,1;1,3;;;;;;
2004;dolno?l?skie;PL0202;miasto Legnica;DsLegSmok;CO;1g;0,4;0,1;1,9;1,73;8658;98,6;1,0;;;;;;
2004;dolno?l?skie;PL0202;miasto Legnica;DsLegZlotor;CO;1g;0,4;0,1;2,3;1,67;8417;95,8;1,0;;;;;;
2004;dolno?l?skie;PL0204;strefa dolno?l?ska;DsBialka;CO;1g;0,4;0,1;2,2;1,90;8599;97,9;1,0;;;;;;
2004;dolno?l?skie;PL0204;strefa dolno?l?ska;DsGlogSikor;CO;1g;0,4;0,0;1,8;1,55;8766;99,8;1,0;;;;;;
2004;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJelw05;CO;1g;0,1;0,1;0,8;0,64;5695;64,8;0,6;;;;;;
2004;dolno?l?skie;PL0204;strefa dolno?l?ska;DsKromolin;CO;1g;0,4;0,0;2,4;2,27;8738;99,5;1,0;;;;;;
2004;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSobczyce;CO;1g;0,3;0,0;1,8;1,50;8755;99,7;1,0;;;;;;
2004;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;CO;1g;0,6;0,0;8,0;3,89;7715;87,8;0,9;;;;;;
2004;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;CO;1g;0,3;0,0;8,2;3,42;8587;97,8;1,0;;;;;;
2004;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpDAFRypinKOMES;CO;1g;0,2;0,0;1,0;0,79;1656;18,9;1,7;;;;;;
2004;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;CO;1g;0,4;0,0;3,2;1,79;8414;95,8;0,9;;;;;;
2004;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzWIOSARubinst;CO;1g;0,5;0,0;3,5;2,32;8640;98,4;1,0;;;;;;
2004;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzZachod;CO;1g;0,7;0,0;5,8;3,63;8655;98,5;1,0;;;;;;
2004;?ódzkie;PL1001;Aglomeracja ?ódzka;LdZgieMielcz;CO;1g;0,7;0,0;6,5;3,64;8553;97,4;1,0;;;;;;
2004;?ódzkie;PL1002;strefa ?ódzka;LdPiotrkWIOSABelzack;CO;1g;0,7;0,3;3,4;2,23;2787;31,7;0,1;;;;;;
2004;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;CO;1g;1,5;0,2;8,5;6,18;5840;66,5;1,0;;;;;;
2004;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;CO;1g;0,7;0,0;4,7;3,58;6340;72,2;0,8;;;;;;
2004;ma?opolskie;PL1203;strefa ma?opolska;MpTrzebiWIOSPils0303;CO;1g;0,6;0,1;4,3;2,71;5275;60,1;1,0;;;;;;
2004;ma?opolskie;PL1203;strefa ma?opolska;MpZakopaSien;CO;1g;0,9;0,1;10,7;9,34;4759;54,2;0,7;;;;;;
