Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Max;L. dni > 120 (S8max);26 maks (S8max);Per. S93.2 (S8max);AOT40 V-VII;SOMO35;Liczba pomiarów;Kompl. lato;Kompl. zima;Liczba kompletnych mies. letnich (IV-IX);Kompletno??;Liczba Lato/Zima
(-);(-);(-);(-);(-);(-);(-);[µg/m3];[µg/m3];[µg/m3];(-);[µg/m3];[µg/m3];[µg/m3]*h;[µg/m3]*d;(-);[%];[%];(-);[%];(-)
2000;dolno?l?skie;PL0204;strefa dolno?l?ska;DsCzerStraza;O3;1g;72,4;2,0;190,0;41;132,3;133,3;25 643;7 070;7 939;87,0;94,0;3;90,4;0,9
2000;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJelw05;O3;1g;50,8;1,0;197,0;22;118,5;119,4;16 771;4 544;8 339;96,0;94,0;6;94,9;1,0
2000;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSniezkaObs;O3;1g;87,6;10,0;234,0;68;141,1;141,1;31 298;10 782;8 772;100,0;100,0;6;99,9;1,0
2000;lubelskie;PL0602;strefa lubelska;LbJarczWolaM;O3;1g;56,9;2,0;175,0;30;121,6;124,8;20 694;5 931;7 699;98,0;77,0;5;87,6;1,3
2000;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarPodlesn;O3;1g;40,5;0,0;258,0;3;104,3;104,3;7 539;2 496;8 728;100,0;99,0;6;99,4;1,0
2000;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszKrucza;O3;1g;40,8;1,0;150,0;4;95,9;97,4;4 764;2 119;7 972;90,0;92,0;4;90,8;1,0
2000;mazowieckie;PL1404;strefa mazowiecka;MzBelsIGFPAN;O3;1g;53,7;1,0;208,0;27;122,0;122,4;20 513;4 991;8 522;95,0;99,0;4;97,0;1,0
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;Pm.a09a;O3;1g;47,7;1,0;159,0;12;110,4;110,6;9 776;3 293;8 445;93,0;99,0;4;96,1;0,9
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaWyzwo03;O3;1g;46,4;0,0;147,0;8;102,3;102,6;6 744;3 023;8 521;96,0;98,0;6;97,0;1,0
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdyPoreb04;O3;1g;56,8;2,0;179,0;16;111,4;118,1;10 209;4 954;6 410;97,0;49,0;6;73,0;2,0
2000;pomorskie;PL2202;strefa pomorska;PmLebaRabkaE;O3;1g;60,7;1,0;193,0;19;112,4;112,5;14 984;4 671;8 613;100,0;96,0;6;98,1;1,0
2000;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlKatoKossut;O3;1g;44,8;2,0;203,0;36;124,4;124,4;17 276;4 812;8 761;100,0;100,0;6;99,7;1,0
2000;?l?skie;PL2405;strefa ?l?ska;SlUstroCies_sanat;O3;1g;61,7;1,0;183,0;46;133,5;133,6;22 030;7 188;8 025;93,0;90,0;4;91,4;1,0
2000;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmPuszczaBor;O3;1g;59,7;1,0;161,0;29;121,6;122,8;18 087;5 619;8 569;98,0;97,0;5;97,6;1,0
2000;wielkopolskie;PL3003;strefa wielkopolska;WpKoniWyszyn;O3;1g;54,8;6,0;159,0;27;121,0;124,8;18 111;4 912;7 755;89,0;87,0;3;88,3;1,0
2001;dolno?l?skie;PL0204;strefa dolno?l?ska;DsCzerStraza;O3;1g;71,2;1,0;164,0;30;124,8;124,8;16 685;6 154;8 491;98,0;96,0;5;96,9;1,0
2001;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJelw05;O3;1g;50,0;1,0;182,0;15;115,3;115,6;14 399;4 023;8 424;94,0;99,0;3;96,2;1,0
2001;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSniezkaObs;O3;1g;78,7;4,0;156,0;39;127,0;127,0;14 604;8 455;8 728;100,0;100,0;6;99,6;1,0
2001;lubelskie;PL0602;strefa lubelska;LbJarczWolaM;O3;1g;53,8;2,0;165,0;12;113,4;113,4;11 701;4 496;8 725;100,0;100,0;6;99,6;1,0
2001;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarPodlesn;O3;1g;41,8;0,0;162,0;1;97,1;97,5;6 821;2 489;8 583;100,0;96,0;6;98,0;1,1
2001;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszKrucza;O3;1g;47,2;1,0;174,0;25;120,3;120,8;14 765;4 463;8 249;95,0;93,0;6;94,2;1,0
2001;mazowieckie;PL1404;strefa mazowiecka;MzBelsIGFPAN;O3;1g;52,7;1,0;157,0;12;111,5;112,1;11 390;4 032;8 625;98,0;99,0;5;98,5;1,0
2001;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaOstrz05;O3;1g;62,6;0,0;179,0;21;119,0;119,1;20 386;6 147;8 524;97,0;98,0;5;97,3;1,0
2001;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaWyzwo03;O3;1g;56,1;0,0;175,0;16;114,6;114,9;16 582;5 173;8 391;96,0;95,0;5;95,8;1,0
2001;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdyPoreb04;O3;1g;58,1;0,0;167,0;5;105,1;105,3;7 219;3 879;8 522;98,0;97,0;6;97,3;1,0
2001;pomorskie;PL2202;strefa pomorska;PmLebaRabkaE;O3;1g;63,8;4,0;155,0;7;108,6;108,6;12 285;5 039;8 746;100,0;100,0;6;99,8;1,0
2001;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlKatoKossut;O3;1g;42,8;2,0;155,0;20;113,8;114,1;11 409;3 630;8 584;96,0;100,0;5;98,0;1,0
2001;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmPuszczaBor;O3;1g;59,2;1,0;154,0;4;105,6;106,3;9 656;4 140;8 450;99,0;94,0;6;96,5;1,1
2001;wielkopolskie;PL3003;strefa wielkopolska;WpKoniWyszyn;O3;1g;56,6;2,0;171,0;20;118,0;118,6;16 563;5 385;7 963;93,0;88,0;5;90,9;1,1
2002;dolno?l?skie;PL0204;strefa dolno?l?ska;DsCzerStraza;O3;1g;79,8;2,0;169,0;44;128,4;129,8;19 929;9 022;7 129;98,0;65,0;5;81,4;1,5
2002;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJelw05;O3;1g;54,0;1,0;188,0;35;124,1;125,4;17 421;5 624;8 393;94,0;97,0;5;95,8;1,0
2002;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSniezkaObs;O3;1g;80,4;2,0;155,0;47;127,5;127,5;16 620;9 043;8 751;100,0;100,0;6;99,9;1,0
2002;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;O3;1g;45,6;0,0;149,1;0;90,6;94,3;4 111;2 437;5 604;75,0;53,0;1;64,0;1,4
2002;lubelskie;PL0602;strefa lubelska;LbJarczWolaM;O3;1g;58,2;2,0;158,0;39;126,5;126,5;18 292;6 350;8 753;100,0;100,0;6;99,9;1,0
2002;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakowWIOSPrad6115;O3;1g;36,2;1,0;182,0;21;117,8;120,6;16 012;4 256;7 277;90,0;76,0;3;83,1;1,2
2002;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarPodlesn;O3;1g;45,6;0,0;176,0;17;113,4;113,6;10 611;4 159;8 516;100,0;95,0;6;97,2;1,1
2002;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszKrucza;O3;1g;45,0;1,0;170,0;11;113,8;114,0;11 202;4 217;8 183;95,0;92,0;6;93,4;1,0
2002;mazowieckie;PL1404;strefa mazowiecka;MzBelsIGFPAN;O3;1g;59,5;2,0;173,0;44;127,9;128,6;22 433;6 803;8 512;96,0;99,0;5;97,2;1,0
2002;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaOstrz05;O3;1g;54,7;0,0;155,0;12;109,4;113,1;7 011;4 369;6 911;89,0;69,0;3;78,9;1,3
2002;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaWyzwo03;O3;1g;55,4;0,0;164,0;11;110,0;110,0;5 974;4 788;8 660;99,0;99,0;6;98,9;1,0
2002;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdyPoreb04;O3;1g;56,8;1,0;159,0;13;108,3;108,3;3 999;3 940;8 586;98,0;98,0;6;98,0;1,0
2002;pomorskie;PL2202;strefa pomorska;PmLebaRabkaE;O3;1g;65,9;2,0;159,0;16;116,3;116,3;13 381;6 143;8 750;100,0;100,0;6;99,9;1,0
2002;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlKatoKossut;O3;1g;44,7;3,0;174,0;21;118,8;118,8;15 577;4 948;8 734;100,0;99,0;6;99,7;1,0
2002;?l?skie;PL2405;strefa ?l?ska;SlUstroCies_sanat;O3;1g;63,6;5,0;186,0;41;128,0;129,3;16 473;6 881;8 492;97,0;97,0;5;96,9;1,0
2002;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmPuszczaBor;O3;1g;62,4;1,0;159,0;40;127,0;127,1;16 080;6 831;8 388;99,0;92,0;6;95,8;1,1
2002;wielkopolskie;PL3003;strefa wielkopolska;WpKoniWyszyn;O3;1g;57,3;6,0;163,0;16;116,5;118,5;17 347;5 438;6 880;89,0;68,0;1;78,5;1,3
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsCzar07;O3;1g;85,3;5,0;191,0;82;142,6;143,4;25 520;10 617;8 392;92,0;100,0;4;95,8;0,9
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsCzerStraza;O3;1g;79,6;2,0;193,0;73;138,1;138,6;24 629;9 337;8 094;89,0;96,0;4;92,4;0,9
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsDzialoszyn;O3;1g;53,9;1,0;213,0;17;107,0;130,0;9 936;5 326;3 724;35,0;51,0;2;42,5;0,7
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJelw05;O3;1g;58,9;1,0;215,0;48;133,5;134,8;23 865;7 291;8 002;87,0;96,0;5;91,3;0,9
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSnie04;O3;1g;85,3;4,0;206,0;48;132,5;137,8;18 323;10 302;6 169;63,0;78,0;3;70,4;0,8
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSniezkaObs;O3;1g;80,3;2,0;202,0;63;136,9;136,9;19 900;9 893;8 755;100,0;100,0;6;99,9;1,0
2003;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSoko08;O3;1g;77,8;5,0;190,0;63;134,9;135,6;21 612;8 694;8 255;91,0;97,0;4;94,2;0,9
2003;kujawsko-pomorskie;PL0402;miasto Toru?;KpTorunOPSIS;O3;1g;22,9;0,0;101,2;0;57,1;57,3;6;38;8 153;99,0;87,0;6;93,1;1,2
2003;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpWloclWSHE;O3;1g;8,9;0,0;47,6;0;20,2;22,9;0;0;5 588;68,0;60,0;3;63,8;1,1
2003;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;O3;1g;45,0;0,0;133,8;2;98,6;99,8;6 221;2 596;8 191;91,0;96,0;3;93,5;1,0
2003;lubelskie;PL0602;strefa lubelska;LbJarczWolaM;O3;1g;56,9;2,0;162,0;25;120,3;120,3;18 274;6 125;8 753;100,0;100,0;6;99,9;1,0
2003;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;O3;1g;27,4;2,1;71,0;0;40,9;57,9;;0;1 459;0,0;33,0;0;16,7;0,0
