"Kod";"Nazwa";"Kierunki inwestowania";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2000";192412,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2001";394149,6;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";329643,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";365724,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";152815,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";53450,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";76299,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";47513,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";168053,6;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";106654,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";46349,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";57073,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";79210,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";132372,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";571345,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";539752,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";112466,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";45596,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";135879,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";244266,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";321925,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";241790,6;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";557640,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";;"tys. zł";"n";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2000";119341,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2001";362965,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2002";273602,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2003";307884,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2004";104025,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2005";26942,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2006";19669,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2007";24927,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2008";140252,6;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2009";91526,6;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2010";20378,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2011";50463,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2012";59805,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2013";48508,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2014";328031,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2015";63575,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2016";16197,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2017";30467,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2018";50004,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2019";34488,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2020";76711,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2021";69405,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2022";0,0;"tys. zł";"x";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom razem";"2023";;"tys. zł";"n";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2000";119304,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2001";359282,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2002";272869,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2003";305732,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2004";95637,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2005";24849,6;"tys. zł";"";
